"","gene_index","negative_log_likelihood","mu","k1","k2","t0","phi","sd","alpha","beta","t0_lower","t0_upper","t0_std","k1_lower","k1_upper","k1_std","k2_lower","k2_upper","k2_std","mu_lower","mu_upper","mu_std","Fisher","Transform","Design_para"
"768","TM2D2",101228.581548311,7.13177737689716,8.60424898758735,10.4296689229323,0.639705069978581,NA,NA,NA,NA,0.62,0.66,0.0101664227121028,7.416,9.792,0.605996694643791,8.164,12.696,1.15612618990039,6.946,7.317,0.094614229340448,"Non-singular",1,NA
"769","NAAA",37900.0394486381,6.21996705827492,5.2505824608542,1.48193758506155,0.245113848828788,NA,NA,NA,NA,0.176,0.314,0.0350959777098583,-1.237,11.739,3.31023929790131,1.114,1.849,0.187515131898736,6.039,6.401,0.092408666357177,"Non-singular",0,NA
"770","SURF1",45703.2297206321,6.2404996869587,0.397595873276728,1.61646800385924,0.68596460638066,NA,NA,NA,NA,0.515,0.857,0.087205120525797,0.052,0.743,0.176398492268405,-1.097,4.33,1.3842864174916,6.093,6.388,0.0750185913642673,"Non-singular",1,NA
"771","TSPAN4",10354.2578934723,3.9463021694028,12.9105165946109,29.3090673250737,0.289127961541222,NA,NA,NA,NA,0.263,0.316,0.0135546180382185,5.264,20.557,3.90119473437527,21.366,37.252,4.05246253296165,3.694,4.198,0.128539457996167,"Non-singular",0,NA
"772","AMICA1",34640.3648736674,6.06738373179387,0.789330116004364,1.85623362087363,0.598085872092297,NA,NA,NA,NA,0.485,0.711,0.0576052749638597,0.242,1.337,0.27921426731327,0.28,3.433,0.804268522270633,5.924,6.211,0.0732783449447263,"Non-singular",1,NA
"773","IMP4",18576.8708825905,3.58043239556588,0.00258987821485826,0.694233196691955,0.286579145929219,NA,NA,NA,NA,-0.077,0.65,0.185609818748413,-3.812,3.818,1.94641613041876,-0.117,1.506,0.414095160592941,3.357,3.803,0.113801211424679,"Non-singular",0,NA
"774","PLEK",54140.4161629474,6.52660921886502,0.310744513168853,0.414472008945105,0.590208441711327,NA,NA,NA,NA,0.25,0.931,0.173647026172226,-0.267,0.888,0.294725838010882,-0.68,1.509,0.558475464859215,6.383,6.67,0.0733661238352724,"Non-singular",0,NA
"775","GALM",38558.8732658332,6.59814510060932,0.0905458342947214,2.37577957193338,0.82273599194098,NA,NA,NA,NA,0.534,1.112,0.14756928918987,-0.06,0.241,0.076627121397252,-8.339,13.091,5.46670717228416,6.451,6.745,0.0751036208405731,"Non-singular",1,NA
"776","OSM",50484.5390375829,6.55445511251136,0.175153581818555,8.85717360343359,0.939635660725638,NA,NA,NA,NA,0.543,1.336,0.202380963454092,-0.01,0.36,0.0945590628133813,-143.453,161.168,77.7094813012351,6.353,6.756,0.102820688625892,"Non-singular",1,NA
"777","ALDH3B1",14931.7967879075,4.21916035900856,3.48192672498925,1.83696610726232,0.103360105562971,NA,NA,NA,NA,-0.036,0.243,0.0712917078660214,-38.626,45.59,21.4838776615288,1.174,2.5,0.338094707733889,3.856,4.582,0.185357284848715,"Non-singular",0,NA
"778","LY6A",10866.3421656348,2.12493650619632,76.7673567881244,2.91633006081731,0.130468500873859,NA,NA,NA,NA,0.049,0.212,0.0413726169986599,-84.556,238.091,82.3078812292629,2.069,3.763,0.432223225337871,1.93,2.32,0.0993240826969026,"Non-singular",0,NA
"779","AKR1B10",16826.2204356584,3.10817376898053,0.0503178242203644,39.9157482287467,0.924197320683719,NA,NA,NA,NA,0.725,1.123,0.101588666669233,-0.122,0.223,0.0880225184770985,-220.557,300.389,132.894344524442,2.963,3.254,0.0743206095649757,"Non-singular",0,NA
